Part number,Part link,Package link,Product status,OPN,Infineon package,Package name,Qualification,VDS max,ID  (@25°C) max,Technology,VGS(th),RDS (on) (@10V) max,QG (typ @10V),Budgetary Price €/1k,Polarity,Datasheet link,VGS(th) min,VGS(th) max,RDS (on) (@4.5V) max,QG (typ @4.5V),QG (typ @4.5V) max,QG (typ @10V) max
IPDQ60R055CM8,https://www.infineon.com/part/IPDQ60R055CM8,https://www.infineon.com/package/PG-HDSOP-22-1,active and preferred,IPDQ60R055CM8XTMA1,PG-HDSOP-22,Q-DPAK,Industrial,600 V,45 A,CoolMOS™ 8,4.2 V,55 mΩ,51 nC,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipdq60r055cm8-datasheet-en.pdf,3.7 V,4.7 V,,,,
IPDQ60R070CM8,https://www.infineon.com/part/IPDQ60R070CM8,https://www.infineon.com/package/PG-HDSOP-22-1,active and preferred,IPDQ60R070CM8XTMA1,PG-HDSOP-22,Q-DPAK,Industrial,600 V,37 A,CoolMOS™ 8,4.2 V,70 mΩ,43 nC,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipdq60r070cm8-datasheet-en.pdf,3.7 V,4.7 V,,,,
IPT60R055CM8,https://www.infineon.com/part/IPT60R055CM8,https://www.infineon.com/package/PG-HSOF-8-2,active and preferred,IPT60R055CM8XTMA1,PG-HSOF-8,TOLL,Industrial,600 V,48 A,CoolMOS™ 8,4.2 V,55 mΩ,51 nC,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipt60r055cm8-datasheet-en.pdf,3.7 V,4.7 V,,,,
IPT60R070CM8,https://www.infineon.com/part/IPT60R070CM8,https://www.infineon.com/package/PG-HSOF-8-2,active and preferred,IPT60R070CM8XTMA1,PG-HSOF-8,TOLL,Industrial,600 V,40 A,CoolMOS™ 8,4.2 V,70 mΩ,43 nC,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipt60r070cm8-datasheet-en.pdf,3.7 V,4.7 V,,,,
IPT60R120CM8,https://www.infineon.com/part/IPT60R120CM8,https://www.infineon.com/package/PG-HSOF-8-2,active and preferred,IPT60R120CM8XTMA1,PG-HSOF-8,TOLL,Industrial,600 V,24 A,CoolMOS™ 8,4.2 V,120 mΩ,24 nC,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipt60r120cm8-datasheet-en.pdf,3.7 V,4.7 V,,,,
IPT60R160CM8,https://www.infineon.com/part/IPT60R160CM8,https://www.infineon.com/package/PG-HSOF-8-2,active and preferred,IPT60R160CM8XTMA1,PG-HSOF-8,TOLL,Industrial,600 V,19 A,CoolMOS™ 8,4.2 V,160 mΩ,18 nC,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipt60r160cm8-datasheet-en.pdf,3.7 V,4.7 V,,,,
IPW60R055CM8,https://www.infineon.com/part/IPW60R055CM8,https://www.infineon.com/package/PG-TO247-3-58,active and preferred,IPW60R055CM8XKSA1,PG-TO247-3,TO247,Industrial,600 V,,CoolMOS™ 8,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipw60r055cm8-datasheet-en.pdf,,,,,,
IPW60R070CM8,https://www.infineon.com/part/IPW60R070CM8,https://www.infineon.com/package/PG-TO247-3-58,active and preferred,IPW60R070CM8XKSA1,PG-TO247-3,TO247,Industrial,600 V,37 A,CoolMOS™ 8,4.2 V,70 mΩ,43 nC,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipw60r070cm8-datasheet-en.pdf,3.7 V,4.7 V,,,,
IPW60R120CM8,https://www.infineon.com/part/IPW60R120CM8,https://www.infineon.com/package/PG-TO247-3-58,active and preferred,IPW60R120CM8XKSA1,PG-TO247-3,TO247,Industrial,600 V,23 A,CoolMOS™ 8,4.2 V,120 mΩ,24 nC,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipw60r120cm8-datasheet-en.pdf,3.7 V,4.7 V,,,,
IPZA60R055CM8,https://www.infineon.com/part/IPZA60R055CM8,https://www.infineon.com/package/PG-TO247-4-12,active and preferred,IPZA60R055CM8XKSA1,PG-TO247-4,TO247 4-pin (asymmetric leads),Industrial,600 V,,CoolMOS™ 8,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipza60r055cm8-datasheet-en.pdf,,,,,,
IPZA60R070CM8,https://www.infineon.com/part/IPZA60R070CM8,https://www.infineon.com/package/PG-TO247-4-12,active and preferred,IPZA60R070CM8XKSA1,PG-TO247-4,TO247 4-pin (asymmetric leads),Industrial,600 V,37 A,CoolMOS™ 8,4.2 V,70 mΩ,43 nC,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipza60r070cm8-datasheet-en.pdf,3.7 V,4.7 V,,,,
IPT60R099CM8,https://www.infineon.com/part/IPT60R099CM8,https://www.infineon.com/package/PG-HSOF-8-2,active and preferred,IPT60R099CM8XTMA1,PG-HSOF-8,TOLL,Industrial,600 V,,CoolMOS™ 8,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipt60r099cm8-datasheet-en.pdf,,,,,,
IPW60R099CM8,https://www.infineon.com/part/IPW60R099CM8,https://www.infineon.com/package/PG-TO247-3-58,active and preferred,IPW60R099CM8XKSA1,PG-TO247-3,TO247,Industrial,600 V,,CoolMOS™ 8,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipw60r099cm8-datasheet-en.pdf,,,,,,
IPZA60R099CM8,https://www.infineon.com/part/IPZA60R099CM8,https://www.infineon.com/package/PG-TO247-4-12,active and preferred,IPZA60R099CM8XKSA1,PG-TO247-4,TO247 4-pin (asymmetric leads),Industrial,600 V,,CoolMOS™ 8,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipza60r099cm8-datasheet-en.pdf,,,,,,
IPT60R024CM8,https://www.infineon.com/part/IPT60R024CM8,https://www.infineon.com/package/PG-HSOF-8-2,active and preferred,IPT60R024CM8XTMA1,PG-HSOF-8,TOLL,Industrial,600 V,,CoolMOS™ 8,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipt60r024cm8-datasheet-en.pdf,,,,,,
IPW60R024CM8,https://www.infineon.com/part/IPW60R024CM8,https://www.infineon.com/package/PG-TO247-3-58,active and preferred,IPW60R024CM8XKSA1,PG-TO247-3,TO247,Industrial,600 V,,CoolMOS™ 8,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipw60r024cm8-datasheet-en.pdf,,,,,,
IPZA60R024CM8,https://www.infineon.com/part/IPZA60R024CM8,https://www.infineon.com/package/PG-TO247-4-12,active and preferred,IPZA60R024CM8XKSA1,PG-TO247-4,TO247 4-pin (asymmetric leads),Industrial,600 V,,CoolMOS™ 8,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipza60r024cm8-datasheet-en.pdf,,,,,,
IPDQ60R024CM8,https://www.infineon.com/part/IPDQ60R024CM8,https://www.infineon.com/package/PG-HDSOP-22-1,active and preferred,IPDQ60R024CM8XTMA1,PG-HDSOP-22-1,Q-DPAK,Industrial,600 V,,CoolMOS™ 8,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipdq60r024cm8-datasheet-en.pdf,,,,,,
IMBF170R1K0M1,https://www.infineon.com/part/IMBF170R1K0M1,https://www.infineon.com/package/PG-TO263-7-13,active and preferred,IMBF170R1K0M1XTMA1,PG-TO263-7,,Industrial,1700 V,5.2 A,CoolSiC™ G1,,,,,N,https://www.infineon.com/assets/row/public/documents/60/49/infineon-imbf170r1k0m1-datasheet-en.pdf,,,,,,
IMBF170R450M1,https://www.infineon.com/part/IMBF170R450M1,https://www.infineon.com/package/PG-TO263-7-13,active and preferred,IMBF170R450M1XTMA1,PG-TO263-7,,Industrial,1700 V,9.8 A,CoolSiC™ G1,,,,,N,https://www.infineon.com/assets/row/public/documents/60/49/infineon-imbf170r450m1-datasheet-en.pdf,,,,,,
IMBF170R650M1,https://www.infineon.com/part/IMBF170R650M1,https://www.infineon.com/package/PG-TO263-7-13,active and preferred,IMBF170R650M1XTMA1,PG-TO263-7,,Industrial,1700 V,7.4 A,CoolSiC™ G1,,,,,N,https://www.infineon.com/assets/row/public/documents/60/49/infineon-imbf170r650m1-datasheet-en.pdf,,,,,,
AIMBG120R080M1,https://www.infineon.com/part/AIMBG120R080M1,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,AIMBG120R080M1XTMA1,PG-TO263-7,D2PAK 7-pin,Automotive,1200 V,30 A,CoolSiC™ G1,,,,,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimbg120r080m1-datasheet-en.pdf,,,,,,
AIMBG120R040M1,https://www.infineon.com/part/AIMBG120R040M1,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,AIMBG120R040M1XTMA1,PG-TO263-7,D2PAK 7-pin,Automotive,1200 V,54 A,CoolSiC™ G1,,,,,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimbg120r040m1-datasheet-en.pdf,,,,,,
AIMBG120R010M1,https://www.infineon.com/part/AIMBG120R010M1,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,AIMBG120R010M1XTMA1,PG-TO263-7,D2PAK 7-pin,Automotive,1200 V,205 A,CoolSiC™ G1,,,,,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimbg120r010m1-datasheet-en.pdf,,,,,,
AIMBG120R030M1,https://www.infineon.com/part/AIMBG120R030M1,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,AIMBG120R030M1XTMA1,PG-TO263-7,D2PAK 7-pin,Automotive,1200 V,58 A,CoolSiC™ G1,,,,,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimbg120r030m1-datasheet-en.pdf,,,,,,
AIMBG120R060M1,https://www.infineon.com/part/AIMBG120R060M1,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,AIMBG120R060M1XTMA1,PG-TO263-7,D2PAK 7-pin,Automotive,1200 V,38 A,CoolSiC™ G1,,,,,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimbg120r060m1-datasheet-en.pdf,,,,,,
AIMBG120R020M1,https://www.infineon.com/part/AIMBG120R020M1,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,AIMBG120R020M1XTMA1,PG-TO263-7,D2PAK 7-pin,Automotive,1200 V,104 A,CoolSiC™ G1,,,,,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimbg120r020m1-datasheet-en.pdf,,,,,,
AIMBG120R120M1,https://www.infineon.com/part/AIMBG120R120M1,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,AIMBG120R120M1XTMA1,PG-TO263-7,D2PAK 7-pin,Automotive,1200 V,22 A,CoolSiC™ G1,,,,,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimbg120r120m1-datasheet-en.pdf,,,,,,
AIMBG120R160M1,https://www.infineon.com/part/AIMBG120R160M1,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,AIMBG120R160M1XTMA1,PG-TO263-7,D2PAK 7-pin,Automotive,1200 V,17 A,CoolSiC™ G1,,,,,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimbg120r160m1-datasheet-en.pdf,,,,,,
IMYH200R012M1H,https://www.infineon.com/part/IMYH200R012M1H,https://www.infineon.com/package/PG-TO247-4-4,active and preferred,IMYH200R012M1HXKSA1,PG-TO247-4,,Industrial,2000 V,123 A,CoolSiC™ G1,,,,,N,https://www.infineon.com/assets/row/public/documents/60/49/infineon-imyh200r012m1h-datasheet-en.pdf,,,,,,
IMYH200R024M1H,https://www.infineon.com/part/IMYH200R024M1H,https://www.infineon.com/package/PG-TO247-4-4,active and preferred,IMYH200R024M1HXKSA1,PG-TO247-4,,Industrial,2000 V,89 A,CoolSiC™ G1,,,,,N,https://www.infineon.com/assets/row/public/documents/60/49/infineon-imyh200r024m1h-datasheet-en.pdf,,,,,,
IMYH200R050M1H,https://www.infineon.com/part/IMYH200R050M1H,https://www.infineon.com/package/PG-TO247-4-4,active and preferred,IMYH200R050M1HXKSA1,PG-TO247-4,,Industrial,2000 V,48 A,CoolSiC™ G1,,,,,N,https://www.infineon.com/assets/row/public/documents/60/49/infineon-imyh200r050m1h-datasheet-en.pdf,,,,,,
IMYH200R075M1H,https://www.infineon.com/part/IMYH200R075M1H,https://www.infineon.com/package/PG-TO247-4-4,active and preferred,IMYH200R075M1HXKSA1,PG-TO247-4,,Industrial,2000 V,34 A,CoolSiC™ G1,,,,,N,https://www.infineon.com/assets/row/public/documents/60/49/infineon-imyh200r075m1h-datasheet-en.pdf,,,,,,
IMYH200R100M1H,https://www.infineon.com/part/IMYH200R100M1H,https://www.infineon.com/package/PG-TO247-4-4,active and preferred,IMYH200R100M1HXKSA1,PG-TO247-4,,Industrial,2000 V,26 A,CoolSiC™ G1,,,,,N,https://www.infineon.com/assets/row/public/documents/60/49/infineon-imyh200r100m1h-datasheet-en.pdf,,,,,,
AIMDQ75R016M1H,https://www.infineon.com/part/AIMDQ75R016M1H,https://www.infineon.com/package/PG-HDSOP-22-1,active and preferred,AIMDQ75R016M1HXUMA1,PG-HDSOP-22,Q-DPAK,Automotive,750 V,98 A,CoolSiC™ G1,,,,,,https://www.infineon.com/assets/row/public/documents/24/49/infineon-aimdq75r016m1h-datasheet-en.pdf,,,,,,
AIMDQ75R040M1H,https://www.infineon.com/part/AIMDQ75R040M1H,https://www.infineon.com/package/PG-HDSOP-22-1,active and preferred,AIMDQ75R040M1HXUMA1,PG-HDSOP-22,Q-DPAK,Automotive,750 V,47 A,CoolSiC™ G1,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-aimdq75r040m1h-datasheet-en.pdf,,,,,,
AIMDQ75R140M1H,https://www.infineon.com/part/AIMDQ75R140M1H,https://www.infineon.com/package/PG-HDSOP-22-1,active and preferred,AIMDQ75R140M1HXUMA1,PG-HDSOP-22,Q-DPAK,Automotive,750 V,17 A,CoolSiC™ G1,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-aimdq75r140m1h-datasheet-en.pdf,,,,,,
IMDQ75R040M1H,https://www.infineon.com/part/IMDQ75R040M1H,https://www.infineon.com/package/PG-HDSOP-22-1,active and preferred,IMDQ75R040M1HXUMA1,PG-HDSOP-22,Q-DPAK,Industrial,750 V,47 A,CoolSiC™ G1,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-imdq75r040m1h-datasheet-en.pdf,,,,,,
IMDQ75R140M1H,https://www.infineon.com/part/IMDQ75R140M1H,https://www.infineon.com/package/PG-HDSOP-22-1,active and preferred,IMDQ75R140M1HXUMA1,PG-HDSOP-22,Q-DPAK,Industrial,750 V,17 A,CoolSiC™ G1,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-imdq75r140m1h-datasheet-en.pdf,,,,,,
AIMBG75R016M1H,https://www.infineon.com/part/AIMBG75R016M1H,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,AIMBG75R016M1HXTMA1,PG-TO263-7,D2PAK 7-pin,Automotive,750 V,98 A,CoolSiC™ G1,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-aimbg75r016m1h-datasheet-en.pdf,,,,,,
AIMBG75R040M1H,https://www.infineon.com/part/AIMBG75R040M1H,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,AIMBG75R040M1HXTMA1,PG-TO263-7,D2PAK 7-pin,Automotive,750 V,47 A,CoolSiC™ G1,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-aimbg75r040m1h-datasheet-en.pdf,,,,,,
AIMBG75R140M1H,https://www.infineon.com/part/AIMBG75R140M1H,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,AIMBG75R140M1HXTMA1,PG-TO263-7,D2PAK 7-pin,Automotive,750 V,17 A,CoolSiC™ G1,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-aimbg75r140m1h-datasheet-en.pdf,,,,,,
AIMZH120R020M1T,https://www.infineon.com/part/AIMZH120R020M1T,https://www.infineon.com/package/PG-TO247-4-11,active and preferred,AIMZH120R020M1TXKSA1,PG-TO247-4,TO247 4-pin,Automotive,1200 V,100 A,CoolSiC™ G1,,,,,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimzh120r020m1t-datasheet-en.pdf,,,,,,
AIMZH120R160M1T,https://www.infineon.com/part/AIMZH120R160M1T,https://www.infineon.com/package/PG-TO247-4-11,active and preferred,AIMZH120R160M1TXKSA1,PG-TO247-4,TO247 4-pin,Automotive,1200 V,17 A,CoolSiC™ G1,,,,,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimzh120r160m1t-datasheet-en.pdf,,,,,,
AIMZH120R010M1T,https://www.infineon.com/part/AIMZH120R010M1T,https://www.infineon.com/package/PG-TO247-4-11,active and preferred,AIMZH120R010M1TXKSA1,PG-TO247-4,TO247 4-pin,Automotive,1200 V,202 A,CoolSiC™ G1,,,,,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimzh120r010m1t-datasheet-en.pdf,,,,,,
AIMZH120R040M1T,https://www.infineon.com/part/AIMZH120R040M1T,https://www.infineon.com/package/PG-TO247-4-11,active and preferred,AIMZH120R040M1TXKSA1,PG-TO247-4,TO247 4-pin,Automotive,1200 V,55 A,CoolSiC™ G1,,,,,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimzh120r040m1t-datasheet-en.pdf,,,,,,
AIMZH120R080M1T,https://www.infineon.com/part/AIMZH120R080M1T,https://www.infineon.com/package/PG-TO247-4-11,active and preferred,AIMZH120R080M1TXKSA1,PG-TO247-4,TO247 4-pin,Automotive,1200 V,31 A,CoolSiC™ G1,,,,,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimzh120r080m1t-datasheet-en.pdf,,,,,,
AIMZH120R120M1T,https://www.infineon.com/part/AIMZH120R120M1T,https://www.infineon.com/package/PG-TO247-4-11,active and preferred,AIMZH120R120M1TXKSA1,PG-TO247-4,TO247 4-pin,Automotive,1200 V,22 A,CoolSiC™ G1,,,,,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimzh120r120m1t-datasheet-en.pdf,,,,,,
AIMZH120R030M1T,https://www.infineon.com/part/AIMZH120R030M1T,https://www.infineon.com/package/PG-TO247-4-11,active and preferred,AIMZH120R030M1TXKSA1,PG-TO247-4,TO247 4-pin,Automotive,1200 V,69 A,CoolSiC™ G1,,,,,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimzh120r030m1t-datasheet-en.pdf,,,,,,
AIMZH120R060M1T,https://www.infineon.com/part/AIMZH120R060M1T,https://www.infineon.com/package/PG-TO247-4-11,active and preferred,AIMZH120R060M1TXKSA1,PG-TO247-4,TO247 4-pin,Automotive,1200 V,38 A,CoolSiC™ G1,,,,,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimzh120r060m1t-datasheet-en.pdf,,,,,,
AIMZHN120R010M1T,https://www.infineon.com/part/AIMZHN120R010M1T,https://www.infineon.com/package/PG-TO247-4-14,active and preferred,AIMZHN120R010M1TXKSA1,PG-TO247-4,TO247 4-pin (asymmetric leads),Automotive,1200 V,202 A,CoolSiC™ G1,,,,,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimzhn120r010m1t-datasheet-en.pdf,,,,,,
AIMZHN120R020M1T,https://www.infineon.com/part/AIMZHN120R020M1T,https://www.infineon.com/package/PG-TO247-4-14,active and preferred,AIMZHN120R020M1TXKSA1,PG-TO247-4,TO247 4-pin (asymmetric leads),Automotive,1200 V,100 A,CoolSiC™ G1,,,,,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimzhn120r020m1t-datasheet-en.pdf,,,,,,
AIMZHN120R040M1T,https://www.infineon.com/part/AIMZHN120R040M1T,https://www.infineon.com/package/PG-TO247-4-14,active and preferred,AIMZHN120R040M1TXKSA1,PG-TO247-4,TO247 4-pin (asymmetric leads),Automotive,1200 V,55 A,CoolSiC™ G1,,,,,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimzhn120r040m1t-datasheet-en.pdf,,,,,,
AIMZHN120R080M1T,https://www.infineon.com/part/AIMZHN120R080M1T,https://www.infineon.com/package/PG-TO247-4-14,active and preferred,AIMZHN120R080M1TXKSA1,PG-TO247-4,TO247 4-pin (asymmetric leads),Automotive,1200 V,31 A,CoolSiC™ G1,,,,,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimzhn120r080m1t-datasheet-en.pdf,,,,,,
AIMZHN120R120M1T,https://www.infineon.com/part/AIMZHN120R120M1T,https://www.infineon.com/package/PG-TO247-4-14,active and preferred,AIMZHN120R120M1TXKSA1,PG-TO247-4,TO247 4-pin (asymmetric leads),Automotive,1200 V,22 A,CoolSiC™ G1,,,,,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimzhn120r120m1t-datasheet-en.pdf,,,,,,
AIMZHN120R030M1T,https://www.infineon.com/part/AIMZHN120R030M1T,https://www.infineon.com/package/PG-TO247-4-14,active and preferred,AIMZHN120R030M1TXKSA1,PG-TO247-4,TO247 4-pin (asymmetric leads),Automotive,1200 V,69 A,CoolSiC™ G1,,,,,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimzhn120r030m1t-datasheet-en.pdf,,,,,,
AIMZHN120R060M1T,https://www.infineon.com/part/AIMZHN120R060M1T,https://www.infineon.com/package/PG-TO247-4-14,active and preferred,AIMZHN120R060M1TXKSA1,PG-TO247-4,TO247 4-pin (asymmetric leads),Automotive,1200 V,38 A,CoolSiC™ G1,,,,,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimzhn120r060m1t-datasheet-en.pdf,,,,,,
AIMZHN120R160M1T,https://www.infineon.com/part/AIMZHN120R160M1T,https://www.infineon.com/package/PG-TO247-4-14,active and preferred,AIMZHN120R160M1TXKSA1,PG-TO247,TO247 4-pin (asymmetric leads),Automotive,1200 V,17 A,CoolSiC™ G1,,,,,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimzhn120r160m1t-datasheet-en.pdf,,,,,,
IMBG120R008M2H,https://www.infineon.com/part/IMBG120R008M2H,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,IMBG120R008M2HXTMA1,PG-TO263-7,D2PAK 7-pin,Industrial,1200 V,,CoolSiC™ G2,,,,,N,https://www.infineon.com/assets/row/public/documents/60/49/infineon-imbg120r008m2h-datasheet-en.pdf,,,,,,
IMBG120R012M2H,https://www.infineon.com/part/IMBG120R012M2H,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,IMBG120R012M2HXTMA1,PG-TO263-7,D2PAK 7-pin,Industrial,1200 V,,CoolSiC™ G2,,,,,N,https://www.infineon.com/assets/row/public/documents/60/49/infineon-imbg120r012m2h-datasheet-en.pdf,,,,,,
IMBG120R017M2H,https://www.infineon.com/part/IMBG120R017M2H,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,IMBG120R017M2HXTMA1,PG-TO263-7,D2PAK 7-pin,Industrial,1200 V,,CoolSiC™ G2,,,,,N,https://www.infineon.com/assets/row/public/documents/60/49/infineon-imbg120r017m2h-datasheet-en.pdf,,,,,,
IMBG120R022M2H,https://www.infineon.com/part/IMBG120R022M2H,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,IMBG120R022M2HXTMA1,PG-TO263-7,D2PAK 7-pin,Industrial,1200 V,,CoolSiC™ G2,,,,,N,https://www.infineon.com/assets/row/public/documents/60/49/infineon-imbg120r022m2h-datasheet-en.pdf,,,,,,
IMBG120R026M2H,https://www.infineon.com/part/IMBG120R026M2H,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,IMBG120R026M2HXTMA1,PG-TO263-7,D2PAK 7-pin,Industrial,1200 V,,CoolSiC™ G2,,,,,N,https://www.infineon.com/assets/row/public/documents/60/49/infineon-imbg120r026m2h-datasheet-en.pdf,,,,,,
IMBG120R040M2H,https://www.infineon.com/part/IMBG120R040M2H,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,IMBG120R040M2HXTMA1,PG-TO263-7,D2PAK 7-pin,Industrial,1200 V,,CoolSiC™ G2,,,,,N,https://www.infineon.com/assets/row/public/documents/60/49/infineon-imbg120r040m2h-datasheet-en.pdf,,,,,,
IMBG120R053M2H,https://www.infineon.com/part/IMBG120R053M2H,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,IMBG120R053M2HXTMA1,PG-TO263-7,D2PAK 7-pin,Industrial,1200 V,,CoolSiC™ G2,,,,,N,https://www.infineon.com/assets/row/public/documents/60/49/infineon-imbg120r053m2h-datasheet-en.pdf,,,,,,
IMBG120R078M2H,https://www.infineon.com/part/IMBG120R078M2H,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,IMBG120R078M2HXTMA1,PG-TO263-7,D2PAK 7-pin,Industrial,1200 V,,CoolSiC™ G2,,,,,N,https://www.infineon.com/assets/row/public/documents/60/49/infineon-imbg120r078m2h-datasheet-en.pdf,,,,,,
IMBG120R116M2H,https://www.infineon.com/part/IMBG120R116M2H,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,IMBG120R116M2HXTMA1,PG-TO263-7,D2PAK 7-pin,Industrial,1200 V,,CoolSiC™ G2,,,,,N,https://www.infineon.com/assets/row/public/documents/60/49/infineon-imbg120r116m2h-datasheet-en.pdf,,,,,,
IMBG120R181M2H,https://www.infineon.com/part/IMBG120R181M2H,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,IMBG120R181M2HXTMA1,PG-TO263-7,D2PAK 7-pin,Industrial,1200 V,,CoolSiC™ G2,,,,,N,https://www.infineon.com/assets/row/public/documents/60/49/infineon-imbg120r181m2h-datasheet-en.pdf,,,,,,
IMBG120R234M2H,https://www.infineon.com/part/IMBG120R234M2H,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,IMBG120R234M2HXTMA1,PG-TO263-7,D2PAK 7-pin,Industrial,1200 V,,CoolSiC™ G2,,,,,N,https://www.infineon.com/assets/row/public/documents/60/49/infineon-imbg120r234m2h-datasheet-en.pdf,,,,,,
IMBG65R007M2H,https://www.infineon.com/part/IMBG65R007M2H,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,IMBG65R007M2HXTMA1,PG-TO263-7,D2PAK 7-pin,Industrial,650 V,238 A,CoolSiC™ G2,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-imbg65r007m2h-datasheet-en.pdf,,,,,,
