Part number,Part link,Package link,Product status,OPN,Infineon package,Package name,Qualification,VDS max,Technology,VGS(th),VGS(th) min,VGS(th) max,RDS (on) (@10V) max,QG (typ @10V),Budgetary Price €/1k,Polarity,Datasheet link,QG (typ @10V) max,RDS (on) (@4.5V) max,QG (typ @4.5V),QG (typ @4.5V) max
AIMBG75R140M1H,https://www.infineon.com/part/AIMBG75R140M1H,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,AIMBG75R140M1HXTMA1,PG-TO263-7,D2PAK 7-pin,Automotive,750 V,CoolSiC™ G1,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-aimbg75r140m1h-datasheet-en.pdf,,,,
AIMZH120R020M1T,https://www.infineon.com/part/AIMZH120R020M1T,https://www.infineon.com/package/PG-TO247-4-11,active and preferred,AIMZH120R020M1TXKSA1,PG-TO247-4,TO247 4-pin,Automotive,1200 V,CoolSiC™ G1,,,,,,,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimzh120r020m1t-datasheet-en.pdf,,,,
AIMZH120R160M1T,https://www.infineon.com/part/AIMZH120R160M1T,https://www.infineon.com/package/PG-TO247-4-11,active and preferred,AIMZH120R160M1TXKSA1,PG-TO247-4,TO247 4-pin,Automotive,1200 V,CoolSiC™ G1,,,,,,,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimzh120r160m1t-datasheet-en.pdf,,,,
AIMZH120R010M1T,https://www.infineon.com/part/AIMZH120R010M1T,https://www.infineon.com/package/PG-TO247-4-11,active and preferred,AIMZH120R010M1TXKSA1,PG-TO247-4,TO247 4-pin,Automotive,1200 V,CoolSiC™ G1,,,,,,,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimzh120r010m1t-datasheet-en.pdf,,,,
AIMZH120R040M1T,https://www.infineon.com/part/AIMZH120R040M1T,https://www.infineon.com/package/PG-TO247-4-11,active and preferred,AIMZH120R040M1TXKSA1,PG-TO247-4,TO247 4-pin,Automotive,1200 V,CoolSiC™ G1,,,,,,,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimzh120r040m1t-datasheet-en.pdf,,,,
AIMZH120R080M1T,https://www.infineon.com/part/AIMZH120R080M1T,https://www.infineon.com/package/PG-TO247-4-11,active and preferred,AIMZH120R080M1TXKSA1,PG-TO247-4,TO247 4-pin,Automotive,1200 V,CoolSiC™ G1,,,,,,,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimzh120r080m1t-datasheet-en.pdf,,,,
AIMZH120R120M1T,https://www.infineon.com/part/AIMZH120R120M1T,https://www.infineon.com/package/PG-TO247-4-11,active and preferred,AIMZH120R120M1TXKSA1,PG-TO247-4,TO247 4-pin,Automotive,1200 V,CoolSiC™ G1,,,,,,,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimzh120r120m1t-datasheet-en.pdf,,,,
AIMZH120R030M1T,https://www.infineon.com/part/AIMZH120R030M1T,https://www.infineon.com/package/PG-TO247-4-11,active and preferred,AIMZH120R030M1TXKSA1,PG-TO247-4,TO247 4-pin,Automotive,1200 V,CoolSiC™ G1,,,,,,,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimzh120r030m1t-datasheet-en.pdf,,,,
AIMZH120R060M1T,https://www.infineon.com/part/AIMZH120R060M1T,https://www.infineon.com/package/PG-TO247-4-11,active and preferred,AIMZH120R060M1TXKSA1,PG-TO247-4,TO247 4-pin,Automotive,1200 V,CoolSiC™ G1,,,,,,,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimzh120r060m1t-datasheet-en-09018a9080b38138.pdf,,,,
AIMZHN120R120M1T,https://www.infineon.com/part/AIMZHN120R120M1T,https://www.infineon.com/package/PG-TO247-4-14,active and preferred,AIMZHN120R120M1TXKSA1,PG-TO247-4,TO247 4-pin (asymmetric leads),Automotive,1200 V,CoolSiC™ G1,,,,,,,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimzhn120r120m1t-datasheet-en.pdf,,,,
AIMZHN120R060M1T,https://www.infineon.com/part/AIMZHN120R060M1T,https://www.infineon.com/package/PG-TO247-4-14,active and preferred,AIMZHN120R060M1TXKSA1,PG-TO247-4,TO247 4-pin (asymmetric leads),Automotive,1200 V,CoolSiC™ G1,,,,,,,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimzhn120r060m1t-datasheet-en.pdf,,,,
AIMZHN120R160M1T,https://www.infineon.com/part/AIMZHN120R160M1T,https://www.infineon.com/package/PG-TO247-4-14,active and preferred,AIMZHN120R160M1TXKSA1,PG-TO247,TO247 4-pin (asymmetric leads),Automotive,1200 V,CoolSiC™ G1,,,,,,,N,https://www.infineon.com/assets/row/public/documents/10/49/infineon-aimzhn120r160m1t-datasheet-en.pdf,,,,
IMBG120R008M2H,https://www.infineon.com/part/IMBG120R008M2H,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,IMBG120R008M2HXTMA1,PG-TO263-7,D2PAK 7-pin,Industrial,1200 V,CoolSiC™ G2,,,,,,,N,https://www.infineon.com/assets/row/public/documents/60/49/infineon-imbg120r008m2h-datasheet-en.pdf,,,,
IMBG120R012M2H,https://www.infineon.com/part/IMBG120R012M2H,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,IMBG120R012M2HXTMA1,PG-TO263-7,D2PAK 7-pin,Industrial,1200 V,CoolSiC™ G2,,,,,,,N,https://www.infineon.com/assets/row/public/documents/60/49/infineon-imbg120r012m2h-datasheet-en.pdf,,,,
IMBG120R017M2H,https://www.infineon.com/part/IMBG120R017M2H,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,IMBG120R017M2HXTMA1,PG-TO263-7,D2PAK 7-pin,Industrial,1200 V,CoolSiC™ G2,,,,,,,N,https://www.infineon.com/assets/row/public/documents/60/49/infineon-imbg120r017m2h-datasheet-en.pdf,,,,
IMBG120R022M2H,https://www.infineon.com/part/IMBG120R022M2H,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,IMBG120R022M2HXTMA1,PG-TO263-7,D2PAK 7-pin,Industrial,1200 V,CoolSiC™ G2,,,,,,,N,https://www.infineon.com/assets/row/public/documents/60/49/infineon-imbg120r022m2h-datasheet-en.pdf,,,,
IMBG120R026M2H,https://www.infineon.com/part/IMBG120R026M2H,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,IMBG120R026M2HXTMA1,PG-TO263-7,D2PAK 7-pin,Industrial,1200 V,CoolSiC™ G2,,,,,,,N,https://www.infineon.com/assets/row/public/documents/60/49/infineon-imbg120r026m2h-datasheet-en.pdf,,,,
IMBG120R040M2H,https://www.infineon.com/part/IMBG120R040M2H,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,IMBG120R040M2HXTMA1,PG-TO263-7,D2PAK 7-pin,Industrial,1200 V,CoolSiC™ G2,,,,,,,N,https://www.infineon.com/assets/row/public/documents/60/49/infineon-imbg120r040m2h-datasheet-en.pdf,,,,
IMBG120R053M2H,https://www.infineon.com/part/IMBG120R053M2H,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,IMBG120R053M2HXTMA1,PG-TO263-7,D2PAK 7-pin,Industrial,1200 V,CoolSiC™ G2,,,,,,,N,https://www.infineon.com/assets/row/public/documents/60/49/infineon-imbg120r053m2h-datasheet-en.pdf,,,,
IMBG120R078M2H,https://www.infineon.com/part/IMBG120R078M2H,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,IMBG120R078M2HXTMA1,PG-TO263-7,D2PAK 7-pin,Industrial,1200 V,CoolSiC™ G2,,,,,,,N,https://www.infineon.com/assets/row/public/documents/60/49/infineon-imbg120r078m2h-datasheet-en.pdf,,,,
IMBG120R116M2H,https://www.infineon.com/part/IMBG120R116M2H,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,IMBG120R116M2HXTMA1,PG-TO263-7,D2PAK 7-pin,Industrial,1200 V,CoolSiC™ G2,,,,,,,N,https://www.infineon.com/assets/row/public/documents/60/49/infineon-imbg120r116m2h-datasheet-en.pdf,,,,
IMBG120R181M2H,https://www.infineon.com/part/IMBG120R181M2H,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,IMBG120R181M2HXTMA1,PG-TO263-7,D2PAK 7-pin,Industrial,1200 V,CoolSiC™ G2,,,,,,,N,https://www.infineon.com/assets/row/public/documents/60/49/infineon-imbg120r181m2h-datasheet-en.pdf,,,,
IMBG120R234M2H,https://www.infineon.com/part/IMBG120R234M2H,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,IMBG120R234M2HXTMA1,PG-TO263-7,D2PAK 7-pin,Industrial,1200 V,CoolSiC™ G2,,,,,,,N,https://www.infineon.com/assets/row/public/documents/60/49/infineon-imbg120r234m2h-datasheet-en.pdf,,,,
IMBG65R007M2H,https://www.infineon.com/part/IMBG65R007M2H,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,IMBG65R007M2HXTMA1,PG-TO263-7,D2PAK 7-pin,Industrial,650 V,CoolSiC™ G2,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-imbg65r007m2h-datasheet-en.pdf,,,,
AIMZA75R016M1H,https://www.infineon.com/part/AIMZA75R016M1H,https://www.infineon.com/package/PG-TO247-4-16,active and preferred,AIMZA75R016M1HXKSA1,PG-TO247-4,TO247 4-pin (asymmetric leads),Automotive,750 V,CoolSiC™ G1,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-aimza75r016m1h-datasheet-en.pdf,,,,
AIMZA75R020M1H,https://www.infineon.com/part/AIMZA75R020M1H,https://www.infineon.com/package/PG-TO247-4-16,active and preferred,AIMZA75R020M1HXKSA1,PG-TO247-4,TO247 4-pin (asymmetric leads),Automotive,750 V,CoolSiC™ G1,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-aimza75r020m1h-datasheet-en.pdf,,,,
AIMZA75R027M1H,https://www.infineon.com/part/AIMZA75R027M1H,https://www.infineon.com/package/PG-TO247-4-16,active and preferred,AIMZA75R027M1HXKSA1,PG-TO247-4,TO247 4-pin (asymmetric leads),Automotive,750 V,CoolSiC™ G1,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-aimza75r027m1h-datasheet-en.pdf,,,,
AIMZA75R040M1H,https://www.infineon.com/part/AIMZA75R040M1H,https://www.infineon.com/package/PG-TO247-4-16,active and preferred,AIMZA75R040M1HXKSA1,PG-TO247-4,TO247 4-pin (asymmetric leads),Automotive,750 V,CoolSiC™ G1,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-aimza75r040m1h-datasheet-en.pdf,,,,
AIMZA75R060M1H,https://www.infineon.com/part/AIMZA75R060M1H,https://www.infineon.com/package/PG-TO247-4-16,active and preferred,AIMZA75R060M1HXKSA1,PG-TO247-4,TO247 4-pin (asymmetric leads),Automotive,750 V,CoolSiC™ G1,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-aimza75r060m1h-datasheet-en.pdf,,,,
AIMZA75R090M1H,https://www.infineon.com/part/AIMZA75R090M1H,https://www.infineon.com/package/PG-TO247-4-16,active and preferred,AIMZA75R090M1HXKSA1,PG-TO247-4,TO247 4-pin (asymmetric leads),Automotive,750 V,CoolSiC™ G1,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-aimza75r090m1h-datasheet-en.pdf,,,,
AIMZA75R140M1H,https://www.infineon.com/part/AIMZA75R140M1H,https://www.infineon.com/package/PG-TO247-4-16,active and preferred,AIMZA75R140M1HXKSA1,PG-TO247-4,TO247 4-pin (asymmetric leads),Automotive,750 V,CoolSiC™ G1,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-aimza75r140m1h-datasheet-en.pdf,,,,
IMZA65R007M2H,https://www.infineon.com/part/IMZA65R007M2H,https://www.infineon.com/package/PG-TO247-4-8,active and preferred,IMZA65R007M2HXKSA1,PG-TO247-4,TO247 4-pin (asymmetric leads),Industrial,650 V,CoolSiC™ G2,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-imza65r007m2h-datasheet-en.pdf,,,,
IMBG65R010M2H,https://www.infineon.com/part/IMBG65R010M2H,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,IMBG65R010M2HXTMA1,PG-TO263-7,D2PAK 7-pin,Industrial,650 V,CoolSiC™ G2,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-imbg65r010m2h-datasheet-en.pdf,,,,
IMBG65R040M2H,https://www.infineon.com/part/IMBG65R040M2H,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,IMBG65R040M2HXTMA1,PG-TO263-7,D2PAK 7-pin,Industrial,650 V,CoolSiC™ G2,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-imbg65r040m2h-datasheet-en.pdf,,,,
IMBG65R020M2H,https://www.infineon.com/part/IMBG65R020M2H,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,IMBG65R020M2HXTMA1,PG-TO263-7,D2PAK 7-pin,Industrial,650 V,CoolSiC™ G2,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-imbg65r020m2h-datasheet-en.pdf,,,,
IMBG65R050M2H,https://www.infineon.com/part/IMBG65R050M2H,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,IMBG65R050M2HXTMA1,PG-TO263-7,D2PAK 7-pin,Industrial,650 V,CoolSiC™ G2,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-imbg65r050m2h-datasheet-en.pdf,,,,
IMW65R007M2H,https://www.infineon.com/part/IMW65R007M2H,https://www.infineon.com/package/PG-TO247-3-40,active and preferred,IMW65R007M2HXKSA1,PG-TO247-3,TO247,Industrial,650 V,CoolSiC™ G2,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-imw65r007m2h-datasheet-en.pdf,,,,
IMW65R015M2H,https://www.infineon.com/part/IMW65R015M2H,https://www.infineon.com/package/PG-TO247-3-40,active and preferred,IMW65R015M2HXKSA1,PG-TO247-3,TO247,Industrial,650 V,CoolSiC™ G2,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-imw65r015m2h-datasheet-en.pdf,,,,
IMW65R040M2H,https://www.infineon.com/part/IMW65R040M2H,https://www.infineon.com/package/PG-TO247-3-40,active and preferred,IMW65R040M2HXKSA1,PG-TO247-3,TO247,Industrial,650 V,CoolSiC™ G2,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-imw65r040m2h-datasheet-en.pdf,,,,
IMW65R050M2H,https://www.infineon.com/part/IMW65R050M2H,https://www.infineon.com/package/PG-TO247-3-40,active and preferred,IMW65R050M2HXKSA1,PG-TO247-3,TO247,Industrial,650 V,CoolSiC™ G2,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-imw65r050m2h-datasheet-en.pdf,,,,
IMZA65R015M2H,https://www.infineon.com/part/IMZA65R015M2H,https://www.infineon.com/package/PG-TO247-4-8,active and preferred,IMZA65R015M2HXKSA1,PG-TO247-4,TO247 4-pin (asymmetric leads),Industrial,650 V,CoolSiC™ G2,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-imza65r015m2h-datasheet-en.pdf,,,,
IMZA65R050M2H,https://www.infineon.com/part/IMZA65R050M2H,https://www.infineon.com/package/PG-TO247-4-8,active and preferred,IMZA65R050M2HXKSA1,PG-TO247-4,TO247 4-pin (asymmetric leads),Industrial,650 V,CoolSiC™ G2,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-imza65r050m2h-datasheet-en.pdf,,,,
IMZA65R040M2H,https://www.infineon.com/part/IMZA65R040M2H,https://www.infineon.com/package/PG-TO247-4-8,active and preferred,IMZA65R040M2HXKSA1,PG-TO247-4,TO247 4-pin (asymmetric leads),Industrial,650 V,CoolSiC™ G2,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-imza65r040m2h-datasheet-en.pdf,,,,
IMZA65R020M2H,https://www.infineon.com/part/IMZA65R020M2H,https://www.infineon.com/package/PG-TO247-4-8,active and preferred,IMZA65R020M2HXKSA1,PG-TO247-4,TO247 4-pin (asymmetric leads),Industrial,650 V,CoolSiC™ G2,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-imza65r020m2h-datasheet-en.pdf,,,,
IMBG65R015M2H,https://www.infineon.com/part/IMBG65R015M2H,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,IMBG65R015M2HXTMA1,PG-TO263-7,D2PAK 7-pin,Industrial,650 V,CoolSiC™ G2,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-imbg65r015m2h-datasheet-en.pdf,,,,
IMW65R020M2H,https://www.infineon.com/part/IMW65R020M2H,https://www.infineon.com/package/PG-TO247-3-40,active and preferred,IMW65R020M2HXKSA1,PG-TO247-3,TO247,Industrial,650 V,CoolSiC™ G2,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-imw65r020m2h-datasheet-en.pdf,,,,
IMLT65R015M2H,https://www.infineon.com/part/IMLT65R015M2H,https://www.infineon.com/package/PG-HDSOP-16-6,active and preferred,IMLT65R015M2HXTMA1,PG-HDSOP-16,TOLT,Industrial,650 V,CoolSiC™ G2,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-imlt65r015m2h-datasheet-en.pdf,,,,
IMLT65R020M2H,https://www.infineon.com/part/IMLT65R020M2H,https://www.infineon.com/package/PG-HDSOP-16-6,active and preferred,IMLT65R020M2HXTMA1,PG-HDSOP-16,TOLT,Industrial,650 V,CoolSiC™ G2,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-imlt65r020m2h-datasheet-en.pdf,,,,
IMLT65R026M2H,https://www.infineon.com/part/IMLT65R026M2H,https://www.infineon.com/package/PG-HDSOP-16-6,active and preferred,IMLT65R026M2HXTMA1,PG-HDSOP-16,TOLT,Industrial,650 V,CoolSiC™ G2,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-imlt65r026m2h-datasheet-en.pdf,,,,
IMLT65R033M2H,https://www.infineon.com/part/IMLT65R033M2H,https://www.infineon.com/package/PG-HDSOP-16-6,active and preferred,IMLT65R033M2HXTMA1,PG-HDSOP-16,TOLT,Industrial,650 V,CoolSiC™ G2,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-imlt65r033m2h-datasheet-en.pdf,,,,
IMLT65R040M2H,https://www.infineon.com/part/IMLT65R040M2H,https://www.infineon.com/package/PG-HDSOP-16-6,active and preferred,IMLT65R040M2HXTMA1,PG-HDSOP-16,TOLT,Industrial,650 V,CoolSiC™ G2,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-imlt65r040m2h-datasheet-en.pdf,,,,
IMTA65R020M2H,https://www.infineon.com/part/IMTA65R020M2H,https://www.infineon.com/package/PG-LHSOF-4-1,active and preferred,IMTA65R020M2HXTMA1,PG-LHSOF-4,Thin-TOLL,Industrial,650 V,CoolSiC™ G2,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-imta65r020m2h-datasheet-en.pdf,,,,
IMTA65R040M2H,https://www.infineon.com/part/IMTA65R040M2H,https://www.infineon.com/package/PG-LHSOF-4-1,active and preferred,IMTA65R040M2HXTMA1,PG-LHSOF-4,Thin-TOLL,Industrial,650 V,CoolSiC™ G2,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-imta65r040m2h-datasheet-en.pdf,,,,
IMTA65R050M2H,https://www.infineon.com/part/IMTA65R050M2H,https://www.infineon.com/package/PG-LHSOF-4-1,active and preferred,IMTA65R050M2HXTMA1,PG-LHSOF-4,Thin-TOLL,Industrial,650 V,CoolSiC™ G2,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-imta65r050m2h-datasheet-en.pdf,,,,
IMTA65R060M2H,https://www.infineon.com/part/IMTA65R060M2H,https://www.infineon.com/package/PG-LHSOF-4-1,active and preferred,IMTA65R060M2HXTMA1,PG-LHSOF-4,Thin-TOLL,Industrial,650 V,CoolSiC™ G2,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-imta65r060m2h-datasheet-en.pdf,,,,
IMLT65R050M2H,https://www.infineon.com/part/IMLT65R050M2H,https://www.infineon.com/package/PG-HDSOP-16-6,active and preferred,IMLT65R050M2HXTMA1,PG-HDSOP-16,TOLT,Industrial,650 V,CoolSiC™ G2,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-imlt65r050m2h-datasheet-en.pdf,,,,
IMLT65R075M2H,https://www.infineon.com/part/IMLT65R075M2H,https://www.infineon.com/package/PG-HDSOP-16-6,active and preferred,IMLT65R075M2HXTMA1,PG-HDSOP-16,TOLT,Industrial,650 V,CoolSiC™ G2,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-imlt65r075m2h-datasheet-en.pdf,,,,
IMLT65R060M2H,https://www.infineon.com/part/IMLT65R060M2H,https://www.infineon.com/package/PG-HDSOP-16-6,active and preferred,IMLT65R060M2HXTMA1,PG-HDSOP-16,TOLT,Industrial,650 V,CoolSiC™ G2,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-imlt65r060m2h-datasheet-en.pdf,,,,
AIMBG75R020M1H,https://www.infineon.com/part/AIMBG75R020M1H,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,AIMBG75R020M1HXTMA1,PG-TO263-7,D2PAK 7-pin,Automotive,750 V,CoolSiC™ G1,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-aimbg75r020m1h-datasheet-en.pdf,,,,
AIMBG75R027M1H,https://www.infineon.com/part/AIMBG75R027M1H,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,AIMBG75R027M1HXTMA1,PG-TO263-7,D2PAK 7-pin,Automotive,750 V,CoolSiC™ G1,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-aimbg75r027m1h-datasheet-en.pdf,,,,
AIMBG75R090M1H,https://www.infineon.com/part/AIMBG75R090M1H,https://www.infineon.com/package/PG-TO263-7-12,active and preferred,AIMBG75R090M1HXTMA1,PG-TO263-7,D2PAK 7-pin,Automotive,750 V,CoolSiC™ G1,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-aimbg75r090m1h-datasheet-en.pdf,,,,
AIMDQ75R004M2H,https://www.infineon.com/part/AIMDQ75R004M2H,https://www.infineon.com/package/PG-HDSOP-22-1,active and preferred,AIMDQ75R004M2HXTMA1,PG-HDSOP-22,Q-DPAK,Automotive,750 V,CoolSiC™ G2,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-aimdq75r004m2h-datasheet-en.pdf,,,,
AIMDQ75R007M2H,https://www.infineon.com/part/AIMDQ75R007M2H,https://www.infineon.com/package/PG-HDSOP-22-1,active and preferred,AIMDQ75R007M2HXTMA1,PG-HDSOP-22,Q-DPAK,Automotive,750 V,CoolSiC™ G2,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-aimdq75r007m2h-datasheet-en.pdf,,,,
AIMDQ75R016M2H,https://www.infineon.com/part/AIMDQ75R016M2H,https://www.infineon.com/package/PG-HDSOP-22-1,active and preferred,AIMDQ75R016M2HXTMA1,PG-HDSOP-22,Q-DPAK,Automotive,750 V,CoolSiC™ G2,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-aimdq75r016m2h-datasheet-en.pdf,,,,
AIMDQ75R025M2H,https://www.infineon.com/part/AIMDQ75R025M2H,https://www.infineon.com/package/PG-HDSOP-22-1,active and preferred,AIMDQ75R025M2HXTMA1,PG-HDSOP-22,Q-DPAK,Automotive,750 V,CoolSiC™ G2,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-aimdq75r025m2h-datasheet-en.pdf,,,,
AIMDQ75R060M2H,https://www.infineon.com/part/AIMDQ75R060M2H,https://www.infineon.com/package/PG-HDSOP-22-1,active and preferred,AIMDQ75R060M2HXTMA1,PG-HDSOP-22,Q-DPAK,Automotive,750 V,CoolSiC™ G2,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-aimdq75r060m2h-datasheet-en.pdf,,,,
AIMDQ75R090M1H,https://www.infineon.com/part/AIMDQ75R090M1H,https://www.infineon.com/package/PG-HDSOP-22-1,active and preferred,AIMDQ75R090M1HXUMA1,PG-HDSOP-22,Q-DPAK,Automotive,750 V,CoolSiC™ G1,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-aimdq75r090m1h-datasheet-en.pdf,,,,
AIMZA75R008M1H,https://www.infineon.com/part/AIMZA75R008M1H,https://www.infineon.com/package/PG-TO247-4-16,active and preferred,AIMZA75R008M1HXKSA1,PG-TO247-4,TO247 4-pin (asymmetric leads),Automotive,750 V,CoolSiC™ G1,,,,,,,N,https://www.infineon.com/assets/row/public/documents/24/49/infineon-aimza75r008m1h-datasheet-en.pdf,,,,
IMWH170R1K0M1,https://www.infineon.com/part/IMWH170R1K0M1,https://www.infineon.com/package/PG-TO247-3-67,active and preferred,IMWH170R1K0M1XKSA1,PG-TO247-3,,Industrial,1700 V,CoolSiC™ G1,,,,,,,,https://www.infineon.com/assets/row/public/documents/60/49/infineon-imwh170r1k0m1-datasheet-en.pdf,,,,
